team_id,team_name,team_code,men,women,federation_name,region_name,confederation_id,confederation_name,confederation_code,wikipedia_link_men,wikipedia_link_women,wikipedia_link_federation
6c983d26-03e1-5649-a13f-42b61e101a0e,Soviet Union,SUN,TRUE,FALSE,Football Federation of the Soviet Union,"Europe, Asia",e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Soviet_Union_national_football_team,,https://en.wikipedia.org/wiki/Football_Federation_of_the_Soviet_Union
6eb0485e-97e8-57e7-bf93-6c300f3e003a,Russia,RUS,TRUE,TRUE,Russian Football Union,"Europe, Asia",e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Russia_national_football_team,https://en.wikipedia.org/wiki/Russia_women's_national_football_team,https://en.wikipedia.org/wiki/Russian_Football_Union
7092805b-51a6-5344-845b-489df45277c1,East Germany,DDR,TRUE,FALSE,Football Association of East Germany,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/East_Germany_national_football_team,,https://en.wikipedia.org/wiki/Deutscher_Fußball-Verband_der_DDR
835977dc-ae64-5928-9bd2-421d65fcb745,Panama,PAN,TRUE,TRUE,Panamanian Football Federation,Central America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Panama_national_football_team,https://en.wikipedia.org/wiki/Panama_women%27s_national_football_team,https://en.wikipedia.org/wiki/Panamanian_Football_Federation
83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,TRUE,TRUE,Korea Football Association,East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/South_Korea_national_football_team,https://en.wikipedia.org/wiki/South_Korea_women's_national_football_team,https://en.wikipedia.org/wiki/Korea_Football_Association
858b02ea-33d2-5241-9fda-d431df455f31,Vietnam,VNM,FALSE,TRUE,Vietnam Football Federation,South East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,,https://en.wikipedia.org/wiki/Vietnam_women%27s_national_football_team,https://en.wikipedia.org/wiki/Vietnam_Football_Federation
879c1298-9904-5b96-8f25-5e7d455ae2ec,Chile,CHL,TRUE,TRUE,Football Federation of Chile,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Chile_national_football_team,https://en.wikipedia.org/wiki/Chile_women's_national_football_team,https://en.wikipedia.org/wiki/Football_Federation_of_Chile
88af50ff-bf54-5c7f-a5e6-cbc7968ad7ad,Philippines,PHL,FALSE,TRUE,Philippine Football Federation,South East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,,https://en.wikipedia.org/wiki/Philippines_women%27s_national_football_team,https://en.wikipedia.org/wiki/Philippine_Football_Federation
8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,TRUE,FALSE,Saudi Arabian Football Association,Middle East,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Saudi_Arabia_national_football_team,,https://en.wikipedia.org/wiki/Saudi_Arabian_Football_Federation
8dd855bb-0dbb-576b-837a-ad9f8d770c86,Costa Rica,CRI,TRUE,TRUE,Costa Rican Football Federation,Central America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team,https://en.wikipedia.org/wiki/Costa_Rica_women's_national_football_team,https://en.wikipedia.org/wiki/Costa_Rican_Football_Federation
8e63ee49-fbde-5478-a093-1a6a679cc27f,Austria,AUT,TRUE,FALSE,Austrian Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Austria_national_football_team,,https://en.wikipedia.org/wiki/Austrian_Football_Association
8fcb57c5-f39b-5302-9aed-c645120d5a91,Serbia,SRB,TRUE,FALSE,Football Association of Serbia,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Serbia_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Serbia
933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,TRUE,TRUE,Argentine Football Association,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Argentina_national_football_team,https://en.wikipedia.org/wiki/Argentina_women's_national_football_team,https://en.wikipedia.org/wiki/Argentine_Football_Association
93542d8e-8aca-5c07-ad21-5c493fdf083e,China,CHN,TRUE,TRUE,Chinese Football Association,East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/China_national_football_team,https://en.wikipedia.org/wiki/China_women's_national_football_team,https://en.wikipedia.org/wiki/Chinese_Football_Association
93a0c160-8db6-5c28-9415-210f2e278ab8,Israel,ISR,TRUE,FALSE,Israel Football Association,Middle East,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Israel_national_football_team,,https://en.wikipedia.org/wiki/Israel_Football_Association
9678d2a4-5323-5082-b115-575366fb384a,Paraguay,PRY,TRUE,FALSE,Paraguayan Football Association,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Paraguay_national_football_team,,https://en.wikipedia.org/wiki/Paraguayan_Football_Association
97c63301-8b06-5bfb-8909-40b555c7c9e3,Bolivia,BOL,TRUE,FALSE,Bolivian Football Federation,South America,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Bolivia_national_football_team,,https://en.wikipedia.org/wiki/Bolivian_Football_Federation
98d2c177-9d33-51f5-998a-7ad3ab0973fd,Thailand,THA,FALSE,TRUE,Football Association of Thailand,South East Asia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,,https://en.wikipedia.org/wiki/Thailand_women's_national_football_team,https://en.wikipedia.org/wiki/Football_Association_of_Thailand
9a9be60e-89da-590c-95a8-6e5802b5deb5,Yugoslavia,YUG,TRUE,FALSE,Football Association of Yugoslavia,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Yugoslavia_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Yugoslavia
9b432d9b-a19d-5672-901e-2884a641784b,Honduras,HND,TRUE,FALSE,National Autonomous Federation of Football of Honduras,Central America,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Honduras_national_football_team,,https://en.wikipedia.org/wiki/National_Autonomous_Federation_of_Football_of_Honduras
9c7ec48d-3d9a-501e-b202-7f5c4fc96909,Slovenia,SVN,TRUE,FALSE,Football Association of Slovenia,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Slovenia_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_Slovenia
a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,TRUE,TRUE,Swiss Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Switzerland_national_football_team,https://en.wikipedia.org/wiki/Switzerland_women's_national_football_team,https://en.wikipedia.org/wiki/Swiss_Football_Association
a42d3d6a-78dd-5ae6-8408-079a857a7c30,Italy,ITA,TRUE,TRUE,Italian Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Italy_national_football_team,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,https://en.wikipedia.org/wiki/Italian_Football_Federation
ad708552-b621-5809-9ae6-02de989608b3,Czech Republic,CZE,TRUE,FALSE,Football Association of the Czech Republic,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Czech_Republic_national_football_team,,https://en.wikipedia.org/wiki/Football_Association_of_the_Czech_Republic
adbcf28f-5f27-56bd-bca0-909cf77a8ae0,West Germany,DEU,TRUE,FALSE,Germany Football Association,Europe,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Germany_national_football_team,,https://en.wikipedia.org/wiki/German_Football_Association
af3186ce-dc7a-5681-abe7-c1b30465f9ed,United Arab Emirates,ARE,TRUE,FALSE,United Arab Emirates Football Association,Middle East,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/United_Arab_Emirates_national_football_team,,https://en.wikipedia.org/wiki/United_Arab_Emirates_Football_Association
b106b715-3121-50e4-a0a0-1166ddede37e,Kuwait,KWT,TRUE,FALSE,Kuwait Football Association,Middle East,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Kuwait_national_football_team,,https://en.wikipedia.org/wiki/Kuwait_Football_Association
