tournament_id,tournament_name,stage_number,stage_name,group_name,position,team_id,team_name,team_code,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,advanced
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group A,4,3d11f07c-c004-508d-9001-6f944119b2b0,France,FRA,3,0,1,2,0,3,-3,1,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group B,1,5b16dd9d-d19c-5484-bac2-f9e932dddd29,Spain,ESP,3,3,0,0,9,4,5,9,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group B,2,9678d2a4-5323-5082-b115-575366fb384a,Paraguay,PRY,3,1,1,1,6,6,0,4,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group B,3,e77d250a-1cec-5627-adc4-3cf95c7c0972,South Africa,ZAF,3,1,1,1,5,5,0,4,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group B,4,9c7ec48d-3d9a-501e-b202-7f5c4fc96909,Slovenia,SVN,3,0,0,3,2,7,-5,0,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group C,1,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,3,3,0,0,11,3,8,9,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group C,2,d1c45d05-d0bd-55b8-b370-dfa64d998bcc,Turkey,TUR,3,1,1,1,5,3,2,4,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group C,3,8dd855bb-0dbb-576b-837a-ad9f8d770c86,Costa Rica,CRI,3,1,1,1,5,6,-1,4,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group C,4,93542d8e-8aca-5c07-ad21-5c493fdf083e,China,CHN,3,0,0,3,0,9,-9,0,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group D,1,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,3,2,1,0,4,1,3,7,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group D,2,10913c23-6023-563d-94df-9b4fb66c3432,United States,USA,3,1,1,1,5,6,-1,4,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group D,3,13eebf0f-eb49-5e70-97f9-84f0395ceff1,Portugal,PRT,3,1,0,2,6,4,2,3,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group D,4,fc0455f9-aa03-5b3d-9b41-41854289e993,Poland,POL,3,1,0,2,3,7,-4,3,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group E,1,eff0a856-a340-5ec8-84e8-121552da2cda,Germany,DEU,3,2,1,0,11,1,10,7,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group E,2,e39c6163-70b0-5f66-b2d7-540b785eee94,Republic of Ireland,IRL,3,1,2,0,5,2,3,5,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group E,3,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,3,1,1,1,2,3,-1,4,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group E,4,8cca4b99-7e47-5808-9e58-9803329fa50a,Saudi Arabia,SAU,3,0,0,3,0,12,-12,0,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group F,1,3611e724-8c08-5f63-b63d-e1cad6af784c,Sweden,SWE,3,1,2,0,4,3,1,5,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group F,2,43c1aac8-fa85-5e16-ba9c-4cfdcbc975b8,England,ENG,3,1,2,0,2,1,1,5,TRUE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group F,3,933a103d-d9d7-57a3-9c4a-fbc81d25a266,Argentina,ARG,3,1,1,1,2,2,0,4,FALSE
c18a4889-5b51-5337-bc1a-a0731c1d97eb,2002 FIFA Men's World Cup,1,group stage,Group F,4,f201a6b5-a9f6-5612-947b-a6a57d2e7e18,Nigeria,NGA,3,0,1,2,1,3,-2,1,FALSE
