manager_id,family_name,given_name,male,female,country_name,wikipedia_link_manager
d6451904-74df-5613-908d-a89800fbfc0a,Bystritsky,Yuri,TRUE,FALSE,Russia,https://en.wikipedia.org/wiki/Yuri_Bystritsky
0772230f-85b2-52d1-a848-97dd30c54f9b,Béliveau,Sylvie,FALSE,TRUE,Canada,https://en.wikipedia.org/wiki/Sylvie_B%C3%A9liveau
19de10d7-3797-5ef3-b543-5f4dfb6ec46f,Calderón,Marcos,TRUE,FALSE,Peru,https://en.wikipedia.org/wiki/Marcos_Calder%C3%B3n
d591c946-fa4b-5593-8591-23155b226739,Camacho,José Antonio,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Camacho
7f78e1d2-20ed-50ea-8c6e-709935bfa9ed,Cap,Vladislao,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Vladislao_Cap
d037c793-c54e-517c-b94d-ff76e9878d08,Capello,Fabio,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Fabio_Capello
1e2e2c5c-333b-54a2-a620-769b027d15d7,Carpegiani,Paulo César,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Paulo_C%C3%A9sar_Carpegiani
eaf6b3a1-4436-5f29-9403-44a2ff7ec22b,Carrasco,Hernán,TRUE,FALSE,Chile,https://en.wikipedia.org/wiki/Hern%C3%A1n_Carrasco
8e4c2ad5-01b9-5982-8a51-cf3556a688be,Caudron,Raoul,TRUE,FALSE,France,https://en.wikipedia.org/wiki/Raoul_Caudron
08ef4bdf-7c25-55e4-8948-442f99759311,Cha,Bum-kun,TRUE,FALSE,South Korea,https://en.wikipedia.org/wiki/Cha_Bum-kun
4cf4a89f-ddb6-5fab-ae9d-9fe87012ba2c,Charlton,Jack,TRUE,FALSE,England,https://en.wikipedia.org/wiki/Jack_Charlton
ba6f283c-01d4-5d71-a46a-b29b74ca4d47,Cherchesov,Stanislav,TRUE,FALSE,Russia,https://en.wikipedia.org/wiki/Stanislav_Cherchesov
c569f2c5-1535-5586-bf87-cbb3cc32aac8,Chetali,Abdelmajid,TRUE,FALSE,Tunisia,https://en.wikipedia.org/wiki/Abdelmajid_Chetali
a9328b2b-aead-5d83-ab60-65cd07cb714c,Chong,Tsu-pin,FALSE,TRUE,Chinese Taipei,https://en.wikipedia.org/wiki/Chong_Tsu-pin
44dce09d-d7c2-5b17-830f-b0717c161910,Cissé,Aliou,TRUE,FALSE,Senegal,https://en.wikipedia.org/wiki/Aliou_Ciss%C3%A9
9ffbe676-0bdb-528b-8eb7-f7d35a1e8d25,Clemente,Javier,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Javier_Clemente
0c6e6e22-22bc-5c86-93c6-7d6fdbb2315c,Copeland,Ted,TRUE,FALSE,England,https://en.wikipedia.org/wiki/Ted_Copeland
fd5fd01c-211c-536c-9849-9b267fae7954,Corazzo,Juan Carlos,TRUE,FALSE,Uruguay,https://en.wikipedia.org/wiki/Juan_Carlos_Corazzo
18125071-7df6-5c3d-8f55-b9272deac3cd,Costa,Flávio,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Fl%C3%A1vio_Costa
54118a7c-f11e-5fe8-b5ef-663b2c7a1692,Coutinho,Cláudio,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Cl%C3%A1udio_Coutinho
4f8ffb07-7d02-5e53-b5e9-f6ab7210a15e,Cuéllar,Leonardo,TRUE,FALSE,Mexico,https://en.wikipedia.org/wiki/Leonardo_Cu%C3%A9llar
f7a0c47c-91f8-5422-85b9-17caddae5b59,Czeizler,Lajos,TRUE,FALSE,Hungary,https://en.wikipedia.org/wiki/Lajos_Czeizler
61a28d87-41e9-5d23-a462-3f007d69a6aa,Cárdenas,Raúl,TRUE,FALSE,Mexico,https://en.wikipedia.org/wiki/Ra%C3%BAl_C%C3%A1rdenas
6abf1767-1f97-5388-8c48-cae3c990c17b,Cúper,Héctor,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/H%C3%A9ctor_C%C3%BAper
6702c4b6-7288-5780-8eec-6a1413b56d9f,Dalić,Zlatko,TRUE,FALSE,Croatia,https://en.wikipedia.org/wiki/Zlatko_Dali%C4%87
782b29ec-0a33-5113-9fcd-4f7bc885c0f5,Delépine,Nicolas,TRUE,FALSE,France,https://en.wikipedia.org/wiki/Nicolas_Del%C3%A9pine
f2672226-d9bd-575e-b835-6c5fe52fa638,Dennerby,Thomas,TRUE,FALSE,Sweden,https://en.wikipedia.org/wiki/Thomas_Dennerby
9c60d86c-cc5c-5724-89bd-981c7ad58e2a,Derwall,Jupp,TRUE,FALSE,Germany,https://en.wikipedia.org/wiki/Jupp_Derwall
aec9de42-ea25-5224-b04b-167d21a55ab8,Deschamps,Didier,TRUE,FALSE,France,https://en.wikipedia.org/wiki/Didier_Deschamps
bcb18f3a-df9c-55b0-ab90-77c852c54370,DiCicco,Tony,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/Tony_DiCicco
cbe1dc60-c349-5683-aa84-f7340583c5c6,Diacre,Corinne,FALSE,TRUE,France,https://en.wikipedia.org/wiki/Corinne_Diacre
6b28db26-fff1-552a-99b3-f2c23885f112,Didi,,TRUE,FALSE,Brazil,"https://en.wikipedia.org/wiki/Didi_(footballer,_born_1928)"
10a662a9-00c1-5d61-87d5-699df53f7ae8,Dietz,Károly,TRUE,FALSE,Hungary,https://en.wikipedia.org/wiki/K%C3%A1roly_Dietz
0dcc1801-2e81-5e85-a217-d8699d4bb3c2,Djeumfa,Alain,TRUE,FALSE,Cameroon,https://en.wikipedia.org/wiki/Alain_Djeumfa
fc9b2bf7-def1-5b16-941e-1536e8360aea,Doherty,Peter,TRUE,FALSE,Northern Ireland,https://en.wikipedia.org/wiki/Peter_Doherty_(footballer)
436eeffb-0300-5dec-a9d2-91b1909d5eca,Domanski-Lyfors,Marika,FALSE,TRUE,Sweden,https://en.wikipedia.org/wiki/Marika_Domanski-Lyfors
df8a9770-8528-527b-acec-eb6fa1a7c6b7,Domenech,Raymond,TRUE,FALSE,France,https://en.wikipedia.org/wiki/Raymond_Domenech
af2e9aee-9a1d-540e-a846-9368dcc84ad9,Donaldson,Lorne,TRUE,FALSE,Jamaica,https://en.wikipedia.org/wiki/Lorne_Donaldson
2b630891-4579-511f-a56c-8d43528a9637,Dorrance,Anson,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/Anson_Dorrance
6d988f83-183c-56a4-a413-fa3db2658944,Dujković,Ratomir,TRUE,FALSE,Serbia,https://en.wikipedia.org/wiki/Ratomir_Dujkovi%C4%87
3bf4535b-0596-5a00-be62-ea74d27881a7,Dunga,,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Dunga
52f0eeb7-0972-55cb-9e2e-d5cc901762ca,Durand Laguna,José,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Jos%C3%A9_Durand_Laguna
ce6cd861-cc55-5bd2-86e2-d3fdae09bd16,Effiom,Ntiero,TRUE,FALSE,Nigeria,https://en.wikipedia.org/wiki/Ntiero_Effiom
389651c0-9971-5823-bfbc-de3220fa3371,Eizaguirre,Guillermo,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Guillermo_Eizaguirre
99fa2bcf-770f-5005-9a49-a84c5bd581db,Ellis,Desiree,FALSE,TRUE,South Africa,https://en.wikipedia.org/wiki/Desiree_Ellis
86ee1636-7889-52ec-9d7c-d66525834347,Ellis,Jill,FALSE,TRUE,United States,https://en.wikipedia.org/wiki/Jill_Ellis
7cf12eae-d973-547a-85ff-2a0ab83b52ee,Engel,Jerzy,TRUE,FALSE,Poland,https://en.wikipedia.org/wiki/Jerzy_Engel
942ce320-1a17-5a69-a253-b71a478d0627,Enow,Carl,TRUE,FALSE,Cameroon,https://en.wikipedia.org/wiki/Carl_Enow
692b24d4-fdd4-500e-84f1-193559d4aa40,Enrique,Luis,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Luis_Enrique
60aa6be2-2d76-50b4-bf67-8d6c0d89a556,Ericson,Georg,TRUE,FALSE,Sweden,https://en.wikipedia.org/wiki/Georg_Ericson
a6b50cae-568b-54ab-bdc5-4e247e4fe0a0,Eriksson,Sven-Göran,TRUE,FALSE,Sweden,https://en.wikipedia.org/wiki/Sven-G%C3%B6ran_Eriksson
b2c1580b-e1bb-5e47-b822-13c4d8344203,Fabbri,Edmondo,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Edmondo_Fabbri
f9eb2b75-7215-58a8-adc3-4987e7bfcf04,Facchin,Carlo,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Carlo_Facchin
42f9728d-d3de-5000-a15d-d5f583d8c02c,Faria,José,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Jos%C3%A9_Faria
975371a8-7a9a-5e9b-915d-4c5e8a75b358,Feola,Vicente,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Vicente_Feola
0cebd0ad-3650-5fc4-b94a-bcdfa3b0a7c0,Ferguson,Alex,TRUE,FALSE,Scotland,https://en.wikipedia.org/wiki/Alex_Ferguson
329e9f90-63c8-52da-8043-e986b1b91ace,Ferrari,Giovanni,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Giovanni_Ferrari
6a5a1c0b-6fee-57a1-b8ba-450c0fe82db0,Finke,Volker,TRUE,FALSE,Germany,https://en.wikipedia.org/wiki/Volker_Finke
2cc02914-8e3e-5afc-a5c6-2b54959030a0,Fleitas Solich,Manuel,TRUE,FALSE,Paraguay,https://en.wikipedia.org/wiki/Manuel_Fleitas_Solich
0b43ed87-8472-554f-86c3-051bc0d3fea2,Flick,Hansi,TRUE,FALSE,Germany,https://en.wikipedia.org/wiki/Hansi_Flick
3f271f16-7532-5aeb-b1c6-bd62b204abe6,Foni,Alfredo,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Alfredo_Foni
4af830cc-71f4-5c8e-9705-8d9135a0b2dd,Fonseca,Ademar,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Ademar_Fonseca
c9dbe2b0-b499-537c-ac46-85713d880163,Frigério,Marcello,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Marcello_Frig%C3%A9rio
810905d3-62db-5d41-873c-f58c65d37fd8,Gansler,Bob,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/Bob_Gansler
62359e06-1f68-5ad6-9d0a-6dd4ae0a55fb,Gantzhorn,Keld,TRUE,FALSE,Denmark,https://en.wikipedia.org/wiki/Keld_Gantzhorn
c4df3501-9f7b-5c8e-88e8-628ec068dce8,García,Amadeo,TRUE,FALSE,Spain,https://en.wikipedia.org/wiki/Amadeo_Garc%C3%ADa
a161b99c-7edb-5948-89e9-aac9e3710dfe,Gareca,Ricardo,TRUE,FALSE,Argentina,https://en.wikipedia.org/wiki/Ricardo_Gareca
0d8f65a2-6956-59ed-9f0a-15a532e13110,Gerhardsson,Peter,TRUE,FALSE,Sweden,https://en.wikipedia.org/wiki/Peter_Gerhardsson
a5ac037e-bb4d-5e55-b690-126984717698,Glendenning,Bob,TRUE,FALSE,England,https://en.wikipedia.org/wiki/Bob_Glendenning
947f3750-f81a-5a4c-b5d5-773f331196df,Glória,Otto,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Otto_Gl%C3%B3ria
d9d3d8f8-e69e-558d-bc7d-197cac8f4540,Gmoch,Jacek,TRUE,FALSE,Poland,https://en.wikipedia.org/wiki/Jacek_Gmoch
5cd9d04f-7312-51db-8c96-4353ef1eaf5f,Goethals,Raymond,TRUE,FALSE,Belgium,https://en.wikipedia.org/wiki/Raymond_Goethals
1fe88fca-e08d-5495-a8bd-f130888c0c7f,Goetinck,Hector,TRUE,FALSE,Belgium,https://en.wikipedia.org/wiki/Hector_Goetinck
26d48436-e785-5149-bb8b-b519c65cbff7,González,Aurelio,TRUE,FALSE,Paraguay,https://en.wikipedia.org/wiki/Aurelio_Gonz%C3%A1lez_(footballer)
17d5d475-32ac-5f40-9778-5c5dad23266d,Gonçalves,Oliveira,TRUE,FALSE,Angola,https://en.wikipedia.org/wiki/Oliveira_Gon%C3%A7alves
5fcc5a39-26b1-5f78-94f1-c8acc57d222d,Gonçalves,Paulo,TRUE,FALSE,Brazil,https://en.wikipedia.org/wiki/Paulo_Gon%C3%A7alves_(football_manager)
ed249772-58ab-5b2e-98d8-17ac2386c84f,Gould,David,TRUE,FALSE,United States,https://en.wikipedia.org/wiki/David_Gould
68c7381f-7125-5797-93ca-24ff3b82e291,Greenwood,Ron,TRUE,FALSE,England,https://en.wikipedia.org/wiki/Ron_Greenwood
0ab50b62-b0da-5cf6-bdc7-5daec51259d7,Grings,Inka,FALSE,TRUE,Germany,https://en.wikipedia.org/wiki/Inka_Grings
931a92a1-71df-55f3-ae71-842ca7b6fd8b,Guenza,Sergio,TRUE,FALSE,Italy,https://en.wikipedia.org/wiki/Sergio_Guenza
bb858c97-5b43-5f85-972b-d6501fe33680,Guimarães,Alexandre,TRUE,FALSE,Costa Rica,https://en.wikipedia.org/wiki/Alexandre_Guimar%C3%A3es
a48f6007-18c0-5207-a101-904abcbedf36,Gustavsson,Tony,TRUE,FALSE,Sweden,https://en.wikipedia.org/wiki/Tony_Gustavsson
