stadium_id,stadium_name,city_name,country_name,stadium_capacity,wikipedia_link_stadium,wikipedia_link_city
f2352c09-4392-52e8-8570-432ef1032ab2,Roker Park,Sunderland,England,40000,https://en.wikipedia.org/wiki/Roker_Park,https://en.wikipedia.org/wiki/Sunderland
f254448f-e772-5a41-8aa7-492bdae59936,Al Janoub Stadium,Al Wakrah,Qatar,44000,https://en.wikipedia.org/wiki/Al_Janoub_Stadium,https://en.wikipedia.org/wiki/Al_Wakrah
f2a226fa-6ab5-500c-943b-70558149ea06,Shizuoka Stadium ECOPA,Shizuoka,Japan,51000,https://en.wikipedia.org/wiki/Shizuoka_Stadium,"https://en.wikipedia.org/wiki/Fukuroi,_Shizuoka"
f4f99962-280d-5ba1-b463-13f1e2097b08,Stanford Stadium,Stanford,United States,84000,https://en.wikipedia.org/wiki/Stanford_Stadium,"https://en.wikipedia.org/wiki/Stanford,_California"
f936abd3-ba32-50cb-b5d8-c68c889af5a1,Hindmarsh Stadium,Adelaide,Australia,14000,https://en.wikipedia.org/wiki/Hindmarsh_Stadium,https://en.wikipedia.org/wiki/Adelaide
fa053427-0dd7-5d1f-a636-8d42eb376d77,Cornaredo Stadium,Lugano,Switzerland,36000,https://en.wikipedia.org/wiki/Cornaredo_Stadium,https://en.wikipedia.org/wiki/Lugano
fb05f35f-c88c-5203-ae57-178cff233076,Al Thumama Stadium,Doha,Qatar,44000,https://en.wikipedia.org/wiki/Al_Thumama_Stadium,https://en.wikipedia.org/wiki/Doha
fc2e54f5-dd40-57b2-9835-b96c8fa39d01,Estadio Centenario,Montevideo,Uruguay,90000,https://en.wikipedia.org/wiki/Estadio_Centenario,https://en.wikipedia.org/wiki/Montevideo
fcb40ae6-fcbd-5e0a-b327-feb2c5c5b624,Olympic Stadium,Montreal,Canada,56000,https://en.wikipedia.org/wiki/Olympic_Stadium_(Montreal),https://en.wikipedia.org/wiki/Montreal
fcd2a448-30ea-540d-bd09-80f282681bfe,Strömvallen,Gävle,Sweden,7000,https://en.wikipedia.org/wiki/Strömvallen,https://en.wikipedia.org/wiki/Gävle
fd1ffe7c-348f-5f47-a5a7-b3d31c99ab8e,Giants Stadium,East Rutherford,United States,76000,https://en.wikipedia.org/wiki/Giants_Stadium,"https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey"
fd492617-ecf7-575b-9fa0-8ae48c889354,Lang Park,Brisbane,Australia,49000,https://en.wikipedia.org/wiki/Lang_Park,https://en.wikipedia.org/wiki/Brisbane
fe10abf6-a6e1-570e-867c-13841ef8dfe9,Stade Olympique de la Pontaise,Lausanne,Switzerland,50000,https://en.wikipedia.org/wiki/Stade_Olympique_de_la_Pontaise,https://en.wikipedia.org/wiki/Lausanne
fe7fd30a-bde7-5c1d-9374-110da5345a59,Estadio Universitario,Monterrey,Mexico,44000,https://en.wikipedia.org/wiki/Estadio_Universitario_(UANL),https://en.wikipedia.org/wiki/Monterrey
