tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,squad_position_name,squad_position_code
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,a8f95992-aa61-5a43-9682-3e33158122d0,Thaisa,,5,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,9f8e116c-a503-5398-913c-42ca09ce3f00,Tamires,,6,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,ce8dbfce-14de-5469-a17d-b96342e9bd4b,Alves,Andressa,7,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,7f443862-ed04-5e9e-94a6-a3d2b18aaab8,Formiga,,8,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,fa80b280-33e9-52d1-9c14-357bb8e71f30,Debinha,,9,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,08b1c0bd-3a74-503f-b0f2-10eb4553061f,Marta,,10,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,0eb58918-09eb-566d-835f-76c3877c264d,Cristiane,,11,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,7a2fc6c3-301d-510e-aa13-33913a10a733,Aline,,12,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,78bc8bf9-82ed-550b-8576-a0d8b975ce8a,Santos,Letícia,13,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,bcfb46bc-8666-536b-850f-e544ea0359ef,Kathellen,,14,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,06681186-a2f5-5b78-8d91-6e83786517e6,Camila,,15,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,487f0207-b311-5895-9226-e2bf840e41d3,Zaneratto,Bia,16,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,01944280-af90-5167-b3dd-7471b140c68a,Andressinha,,17,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,6d555ea0-250e-537a-8314-e25d90ccaa5d,Luana,,18,midfielder,MF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,bb713848-0434-5d28-8125-501bc1d399c9,Ludmila,,19,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,396d7a6e-b311-5646-8424-4851e6d08806,Raquel,,20,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,5906548b-f5a7-583f-be68-d0dca98fa4e1,Mônica,,21,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,2f284839-4a38-5cd6-a2ff-778c04689470,Izidoro,Letícia,22,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,498c5353-84ca-5f1c-8d71-0ae02196227c,Brazil,BRA,dfa1f83f-f05f-5832-b8e8-a362db3001ed,Geyse,,23,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,e9e04ad0-414d-5681-b446-8dec9c6f313b,Ngo Ndom,Annette,1,goal keeper,GK
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,5a99e790-cd1d-5dba-930f-40aa43161405,Manie,Christine,2,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,59b721ce-d5e0-5653-b7a7-5610e0ddfc84,Nchout,Ajara,3,forward,FW
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,40efaeb9-fe68-5eec-8f1a-e7ea87b6d6eb,Leuko,Yvonne,4,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,52f94568-fa57-5c05-a5d2-92028ec35bd8,Ejangue,Augustine,5,defender,DF
013eb3e7-ff79-5592-944c-ca635e888abb,2019 FIFA Women's World Cup,eb88a8cc-be5e-5116-8926-ba595504709a,Cameroon,CMR,01d63a7f-d061-5e66-bba9-bc3b09430238,Johnson,Estelle,6,defender,DF
