referee_id,family_name,given_name,male,female,country_name,confederation_id,confederation_name,confederation_code,wikipedia_link_referee
31df3a79-e2ba-5138-b09f-94e9ff8aafe8,Kim,Young-joo,TRUE,FALSE,South Korea,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Kim_Young-joo
befeb25f-7e0d-5c79-9046-6b12afafbaab,Kirschen,Siegfried,TRUE,FALSE,East Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Siegfried_Kirschen
f53f02d1-e3d8-525e-8a71-f10fe797b9bc,Klein,Abraham,TRUE,FALSE,Israel,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Abraham_Klein_(referee)
a5f6c303-cab4-5823-a773-c768a03d7f55,Kohl,Helmut,TRUE,FALSE,Austria,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Helmut_Kohl_(referee)
93e60a90-d985-58a8-9df7-6b88ca57f9a4,Koroleva,Ekaterina,FALSE,TRUE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Katja_Koroleva
7e3ed42a-4d31-5006-ba28-a60e3956fe23,Kreitlein,Rudolf,TRUE,FALSE,West Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Rudolf_Kreitlein
d1a7bfb3-24ea-5ef0-b0f4-b9d574c72075,Krist,Augustin,TRUE,FALSE,Czechoslovakia,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Augustin_Krist
db84494d-43cf-58ae-b1b3-508070f55133,Krug,Hellmut,TRUE,FALSE,Germany,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Hellmut_Krug
e033c925-42e8-588e-a59a-a2ea55b28664,Kuipers,Björn,TRUE,FALSE,Netherlands,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Kuipers
c8d4cb47-7eca-5a8a-ae68-0a620b87687d,Kulcsár,Katalin,FALSE,TRUE,Hungary,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Katalin_Kulcs%C3%A1r
b4ccb314-031f-5d6f-b634-684fa7a2f5e3,Labo Revoredo,Enrique,TRUE,FALSE,Peru,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Enrique_Labo_Revoredo
e6923bfd-74d5-56dc-8c2b-0607d88048e0,Lacarne,Belaïd,TRUE,FALSE,Algeria,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Bela%C3%AFd_Lacarne
2b333050-711a-55a1-a67e-92aebdaef901,Lamo Castillo,Augusto,TRUE,FALSE,Spain,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Augusto_Lamo_Castillo
f0e26b76-df91-518e-a1e9-d66efef2acf0,Lamolina,Francisco Oscar,TRUE,FALSE,Argentina,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Francisco_Oscar_Lamolina
774a3398-90a2-5c93-b143-dae7c73a5756,Landauer,Henry,TRUE,FALSE,United States,2e2e8de6-629d-52db-ae57-a59213b1e0ed,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,
fa113aa3-67dd-5e5c-8279-ae05ef5c4aa3,Lanese,Tullio,TRUE,FALSE,Italy,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Tullio_Lanese
9c502d0e-bf48-55e9-ad03-55e7cc07cc0f,Langenus,John,TRUE,FALSE,Belgium,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/John_Langenus
39ad005f-9e3f-5019-8747-3e65d2748ddb,Lannoy,Stéphane,TRUE,FALSE,France,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/St%C3%A9phane_Lannoy
792d9b49-9749-5d24-a19c-0e3a39a6c056,Larrionda,Jorge,TRUE,FALSE,Uruguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Jorge_Larrionda
fccaddd3-f7f9-56c8-b5d5-2f280fba4bce,Larsson,Pernilla,FALSE,TRUE,Sweden,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Pernilla_Larsson
04859503-43e4-5bab-8a59-73e9673ea112,Leafe,Reginald,TRUE,FALSE,England,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Reginald_Leafe
1fb1833c-6896-5c11-ae8e-24e792f6a1b1,Leclerq,Lucien,TRUE,FALSE,France,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
c20d57fd-0ffd-5978-910b-09a174c0f60c,Lehtovaara,Lina,FALSE,TRUE,Finland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Lina_Lehtovaara
86039bb2-cc54-5bad-9c3b-f793d131fb7b,Lemesic,Leo,TRUE,FALSE,Yugoslavia,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Leo_Lemesic
e3c03d1b-146a-5ae4-ab2f-d8b8a9471520,Lengwe,Gladys,FALSE,TRUE,Zambia,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Gladys_Lengwe
70cdedac-37e7-5e5a-b0ac-66cab1e6120c,Lennie,Eddie,TRUE,FALSE,Australia,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Eddie_Lennie
0d6d8b0c-1086-5965-8473-6df9b6ab40c5,Levnikov,Nikolai,TRUE,FALSE,Soviet Union,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Nikolai_Levnikov
76ed7bd4-6a25-5489-b8e2-b447912871cd,Lim,Kee Chong,TRUE,FALSE,Mauritius,d7bd58d8-3349-543e-a891-dc0ac15c3d92,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Lim_Kee_Chong
ba28c1fb-f158-503f-8333-ab2f44f69031,Linemayr,Erich,TRUE,FALSE,Austria,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Erich_Linemayr
4a4b4822-ae2a-58f3-b375-170bda4d163a,Ling,William,TRUE,FALSE,England,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/William_Ling_(referee)
4ae80eb8-04c8-5015-836e-00d87f78fc3d,Llobregat,Vicente,TRUE,FALSE,Venezuela,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,
bce41271-d51b-55a6-b65d-cfdc4b58e106,Lo Bello,Concetto,TRUE,FALSE,Italy,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Concetto_Lo_Bello
9d2dd20e-5d23-5d1f-a5cd-9ab04faa3fbb,Lombardi,Domingo,TRUE,FALSE,Uruguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,
1dd1984c-8e10-5121-8f56-a422d9862a0b,Loraux,Vital,TRUE,FALSE,Belgium,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
dfaad26a-92ec-5dd5-8135-5e864181920c,Loustau,Juan Carlos,TRUE,FALSE,Argentina,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Juan_Carlos_Loustau
336a493d-8f4f-5800-9fc7-f4266ac80f33,Lu,Jun,TRUE,FALSE,China,6349fd9d-fd40-5a60-9e90-8ff953842334,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Lu_Jun
ce1cc9f1-c9cf-503c-ada6-2881f3501f14,Lund-Sørensen,Henning,TRUE,FALSE,Denmark,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Henning_Lund-S%C3%B8rensen
3025539e-a9aa-59d9-8fd7-0dc3487b2001,Lutz,Jean,TRUE,FALSE,Switzerland,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
d6c253df-1ea7-50ef-9c08-2d4bc709f520,López Nieto,Antonio,TRUE,FALSE,Spain,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Antonio_L%C3%B3pez_Nieto
e2604d92-1961-5f3f-a5fa-29e1bb320d61,Lööw,Bertil,TRUE,FALSE,Sweden,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
d696e69c-8919-5de7-a08a-9d5103ed8a65,Machin,Roger,TRUE,FALSE,France,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Roger_Machin
ab9efa25-5873-52b4-9275-f3c405a360b6,Maciel,Carlos,TRUE,FALSE,Paraguay,55033925-8eba-5786-bcca-ede2388a87b4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Carlos_Maciel
69171275-8cdd-5da8-8e00-6fd3206b0a74,Macko,Martin,TRUE,FALSE,Czechoslovakia,e7c3477d-bcfb-5840-9489-cd082ab0954f,Union of European Football Associations,UEFA,
