tournament_id,tournament_name,team_id,team_name,team_code,manager_id,family_name,given_name,country_name
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,e31095c5-b215-5b1b-b69e-e0c3be13dcd7,Iceland,ISL,452b0ba4-a21c-51d1-b43a-b839263c1b14,Hallgrímsson,Heimir,Iceland
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,b627769a-7468-5b82-85ee-a38f3d71a3c6,Tunisia,TUN,51c71e02-7c6f-5bbc-b39c-44596f677e39,Maâloul,Nabil,Tunisia
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,83f65ffa-c76e-5ace-8c09-c87d141a3916,South Korea,KOR,52fbc054-38a0-52d0-b8ab-7d7cbfebbd22,Shin,Tae-yong,South Korea
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,fc0455f9-aa03-5b3d-9b41-41854289e993,Poland,POL,54da6272-b1b4-5d5d-a7c6-0e41bb2afbb4,Nawałka,Adam,Poland
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,265f639f-c7d5-5ca2-b708-b0995f6c2b89,Morocco,MAR,5b5a4f33-48e9-5870-8d9c-352678243818,Renard,Hervé,France
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,0db8bc49-3546-517c-af2c-7abd04ae2214,Croatia,HRV,6702c4b6-7288-5780-8eec-6a1413b56d9f,Dalić,Zlatko,Croatia
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,d499d28a-dd42-5133-8e29-23835731f4ea,Egypt,EGY,6abf1767-1f97-5388-8c48-cae3c990c17b,Cúper,Héctor,Argentina
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,a260026d-34b5-5fdf-8896-fd8997f096b9,Switzerland,CHE,744c7203-01a4-57ec-8d9c-bfab181a9ca9,Petković,Vladimir,Switzerland
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,f22d85b4-6cde-5f4e-8119-b3b69a2ba879,Iran,IRN,94108b44-88be-5e27-ac13-dd549b6ec70d,Queiroz,Carlos,Portugal
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,3aa56241-3868-505a-ac6a-753aefa79cc2,Belgium,BEL,a1541473-4388-50bc-9a41-4a1e7de4fe75,Martínez,Roberto,Spain
