tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group C,4
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group D,4
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group E,4
20ab0077-a605-5083-9dc5-cd0d38739b20,1994 FIFA Men's World Cup,1,group stage,Group F,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group A,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group B,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group C,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group D,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group E,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group F,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group G,4
2670ca56-9aab-5ab6-95fe-055da95f80ff,2018 FIFA Men's World Cup,1,group stage,Group H,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group A,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group B,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group C,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group D,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group E,4
28d9ffd2-6063-5c73-aed8-40f06aeb44db,1990 FIFA Men's World Cup,1,group stage,Group F,4
3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,1,group stage,Group A,4
3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,1,group stage,Group B,4
3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,1,group stage,Group C,4
3ceb381b-9f6e-54ff-b80d-d1bade27a3b5,2003 FIFA Women's World Cup,1,group stage,Group D,4
49e2bb03-96ed-5dd7-8325-fadb64dd39cb,2011 FIFA Women's World Cup,1,group stage,Group A,4
49e2bb03-96ed-5dd7-8325-fadb64dd39cb,2011 FIFA Women's World Cup,1,group stage,Group B,4
49e2bb03-96ed-5dd7-8325-fadb64dd39cb,2011 FIFA Women's World Cup,1,group stage,Group C,4
49e2bb03-96ed-5dd7-8325-fadb64dd39cb,2011 FIFA Women's World Cup,1,group stage,Group D,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group A,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group B,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group C,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group D,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group E,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group F,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group G,4
4ee70224-a2a3-585b-8bab-8ef5e9464c04,2014 FIFA Men's World Cup,1,group stage,Group H,4
