match_id,match_slug,match_url,title,home_team,away_team,kickoff,round,venue,referee,status,home_score,away_score,category,player,saves,goals_conceded,xgot_faced,goals_prevented,acted_as_sweeper,high_claim,accurate_long_balls,accurate_passes
4667791,new-zealand-vs-iran,https://www.fotmob.com/matches/new-zealand-vs-iran/1ar30l#4667791,Iran vs New Zealand (2026-06-16T01:00:00.000Z),Iran,New Zealand,2026-06-16T01:00:00.000Z,FIFA World Cup Round 1,Los Angeles Stadium,Cesar Ramos,Full time,2,2,Goalkeeping,Max Crocombe,2,2,1.72,-0.28,0,0,8/17 (47%),29/38 (76%)
4667790,belgium-vs-egypt,https://www.fotmob.com/matches/belgium-vs-egypt/2u3bhg#4667790,Belgium vs Egypt (2026-06-15T19:00:00.000Z),Belgium,Egypt,2026-06-15T19:00:00.000Z,FIFA World Cup Round 1,Seattle Stadium,Ramon Abatti,Full time,1,1,Goalkeeping,Mostafa Ahmed Shobeir,3,1,0.64,0.64,0,1,7/16 (44%),21/30 (70%)
4667790,belgium-vs-egypt,https://www.fotmob.com/matches/belgium-vs-egypt/2u3bhg#4667790,Belgium vs Egypt (2026-06-15T19:00:00.000Z),Belgium,Egypt,2026-06-15T19:00:00.000Z,FIFA World Cup Round 1,Seattle Stadium,Ramon Abatti,Full time,1,1,Goalkeeping,Thibaut Courtois,2,1,0.61,-0.39,3,1,2/4 (50%),9/11 (82%)
4667799,uruguay-vs-saudi-arabia,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,Saudi Arabia vs Uruguay (2026-06-15T22:00:00.000Z),Saudi Arabia,Uruguay,2026-06-15T22:00:00.000Z,FIFA World Cup Round 1,Miami Stadium,Maurizio Mariani,Full time,1,1,Goalkeeping,Mohammed Al Owais,9,1,1.68,0.68,0,0,5/24 (21%),10/29 (34%)
4667799,uruguay-vs-saudi-arabia,https://www.fotmob.com/matches/uruguay-vs-saudi-arabia/1izuvb#4667799,Saudi Arabia vs Uruguay (2026-06-15T22:00:00.000Z),Saudi Arabia,Uruguay,2026-06-15T22:00:00.000Z,FIFA World Cup Round 1,Miami Stadium,Maurizio Mariani,Full time,1,1,Goalkeeping,Fernando Muslera,2,1,0.65,-0.35,1,0,4/5 (80%),29/30 (97%)
4667798,cape-verde-vs-spain,https://www.fotmob.com/matches/cape-verde-vs-spain/1bbtuo#4667798,Spain vs Cape Verde (2026-06-15T16:00:00.000Z),Spain,Cape Verde,2026-06-15T16:00:00.000Z,FIFA World Cup Round 1,Atlanta Stadium,Adham Makhadmeh,Full time,0,0,Goalkeeping,Vozinha,7,0,1.45,1.45,0,3,10/23 (43%),29/42 (69%)
4667798,cape-verde-vs-spain,https://www.fotmob.com/matches/cape-verde-vs-spain/1bbtuo#4667798,Spain vs Cape Verde (2026-06-15T16:00:00.000Z),Spain,Cape Verde,2026-06-15T16:00:00.000Z,FIFA World Cup Round 1,Atlanta Stadium,Adham Makhadmeh,Full time,0,0,Goalkeeping,Unai Simón,1,0,0.13,0.13,1,0,1/1 (100%),17/17 (100%)
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq vs Norway (2026-06-16T22:00:00.000Z),Iraq,Norway,2026-06-16T22:00:00.000Z,FIFA World Cup Round 1,Boston Stadium,Pierre Ghislain Atcho,Full time,1,4,Goalkeeping,Jalal Hassan,2,4,2.65,-0.35,2,1,5/12 (42%),23/30 (77%)
4667805,iraq-vs-norway,https://www.fotmob.com/matches/iraq-vs-norway/1oz68o#4667805,Iraq vs Norway (2026-06-16T22:00:00.000Z),Iraq,Norway,2026-06-16T22:00:00.000Z,FIFA World Cup Round 1,Boston Stadium,Pierre Ghislain Atcho,Full time,1,4,Goalkeeping,Ørjan Håskjold Nyland,0,1,0.6,-0.4,1,0,8/14 (57%),25/31 (81%)
4667804,senegal-vs-france,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,France vs Senegal (2026-06-16T19:00:00.000Z),France,Senegal,2026-06-16T19:00:00.000Z,FIFA World Cup Round 1,New York New Jersey Stadium,Alireza Faghani,Full time,3,1,Goalkeeping,Édouard Mendy,5,3,2.06,-0.94,0,1,5/10 (50%),31/36 (86%)
4667804,senegal-vs-france,https://www.fotmob.com/matches/senegal-vs-france/1f8fvo#4667804,France vs Senegal (2026-06-16T19:00:00.000Z),France,Senegal,2026-06-16T19:00:00.000Z,FIFA World Cup Round 1,New York New Jersey Stadium,Alireza Faghani,Full time,3,1,Goalkeeping,Mike Maignan,2,1,0.17,-0.83,1,0,6/16 (38%),28/39 (72%)
4667812,algeria-vs-argentina,https://www.fotmob.com/matches/algeria-vs-argentina/1ehtqa#4667812,Argentina vs Algeria (2026-06-17T01:00:00.000Z),Argentina,Algeria,2026-06-17T01:00:00.000Z,FIFA World Cup Round 1,Kansas City Stadium,Szymon Marciniak,Full time,3,0,Goalkeeping,Luca Zidane,3,3,2.22,-0.78,1,0,2/2 (100%),37/37 (100%)
4667812,algeria-vs-argentina,https://www.fotmob.com/matches/algeria-vs-argentina/1ehtqa#4667812,Argentina vs Algeria (2026-06-17T01:00:00.000Z),Argentina,Algeria,2026-06-17T01:00:00.000Z,FIFA World Cup Round 1,Kansas City Stadium,Szymon Marciniak,Full time,3,0,Goalkeeping,Emiliano Martínez,0,0,0.0,0.0,0,0,8/18 (44%),31/41 (76%)
4667813,jordan-vs-austria,https://www.fotmob.com/matches/jordan-vs-austria/1my603#4667813,Austria vs Jordan (2026-06-17T04:00:00.000Z),Austria,Jordan,2026-06-17T04:00:00.000Z,FIFA World Cup Round 1,San Francisco Bay Area Stadium,Dahane Beida,Full time,3,1,Goalkeeping,Alexander Schlager,3,1,1.18,0.18,2,0,0/9 (0%),23/32 (72%)
4667813,jordan-vs-austria,https://www.fotmob.com/matches/jordan-vs-austria/1my603#4667813,Austria vs Jordan (2026-06-17T04:00:00.000Z),Austria,Jordan,2026-06-17T04:00:00.000Z,FIFA World Cup Round 1,San Francisco Bay Area Stadium,Dahane Beida,Full time,3,1,Goalkeeping,Yazeed Yazeed Abulaila,1,3,1.29,-0.71,0,0,4/15 (27%),15/26 (58%)
4667820,colombia-vs-uzbekistan,https://www.fotmob.com/matches/colombia-vs-uzbekistan/2dm7x9#4667820,Uzbekistan vs Colombia (2026-06-18T02:00:00.000Z),Uzbekistan,Colombia,2026-06-18T02:00:00.000Z,FIFA World Cup Round 1,Mexico City Stadium,Anthony Taylor,Full time,1,3,Goalkeeping,Utkir Yusupov,1,3,1.36,-1.64,0,2,4/15 (27%),12/23 (52%)
4667820,colombia-vs-uzbekistan,https://www.fotmob.com/matches/colombia-vs-uzbekistan/2dm7x9#4667820,Uzbekistan vs Colombia (2026-06-18T02:00:00.000Z),Uzbekistan,Colombia,2026-06-18T02:00:00.000Z,FIFA World Cup Round 1,Mexico City Stadium,Anthony Taylor,Full time,1,3,Goalkeeping,Camilo Vargas,1,1,1.19,0.19,0,0,4/16 (25%),25/37 (68%)
4667819,dr-congo-vs-portugal,https://www.fotmob.com/matches/dr-congo-vs-portugal/1s6g4o#4667819,Portugal vs DR Congo (2026-06-17T17:00:00.000Z),Portugal,DR Congo,2026-06-17T17:00:00.000Z,FIFA World Cup Round 1,Houston Stadium,Abdulrahman Ibrahim Al Jassim,Full time,1,1,Goalkeeping,Diogo Costa,1,1,0.97,-0.03,1,2,7/12 (58%),24/29 (83%)
