team,fifa_rank_pre_tournament,fifa_points_pre_tournament,matches_last_4y,goals_scored_last_4y,goals_received_last_4y,wins_last_4y,draws_last_4y,losses_last_4y,world_cup_participations_before,world_cup_titles_before,data_as_of,ranking_source,recent_form_source,world_cup_history_source
Burundi,142,1078.01,25,24,47,6,4,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Ethiopia,143,1077.52,27,24,38,7,7,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Dominican Republic,144,1076.5,35,75,48,15,8,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Yemen,145,1065.24,23,39,33,7,6,10,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Lesotho,146,1064.29,36,26,51,9,8,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Botswana,147,1063.63,38,32,50,13,6,19,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Singapore,148,1057.95,42,64,75,16,10,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Lithuania,149,1056.85,39,27,57,5,12,22,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Guyana,150,1049.32,31,62,50,16,3,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
New Caledonia,151,1036.95,18,40,16,10,2,6,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
St. Kitts and Nevis,152,1036.33,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Solomon Islands,153,1031.89,30,48,51,12,3,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Puerto Rico,154,1024.3,29,61,46,13,5,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Fiji,155,1024.17,31,52,51,11,7,13,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Hong Kong,156,1024.16,47,68,64,16,10,21,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Tahiti,157,1019.04,17,33,19,10,2,5,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Myanmar,158,1010.91,37,40,89,8,9,20,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Moldova,159,1008.24,38,38,76,10,10,18,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Vanuatu,160,1002.53,26,33,54,9,3,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Malta,161,992.79,35,27,65,9,6,20,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Antigua and Barbuda,162,986.58,21,15,53,2,4,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Grenada,163,981.82,32,43,66,9,7,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cuba,164,981.42,34,36,61,10,8,16,1,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Eswatini,165,979.01,32,24,47,4,11,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
St. Lucia,166,976.71,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bermuda,167,975.05,30,46,72,10,4,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Papua New Guinea,168,974.9,25,33,47,9,7,9,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
South Sudan,169,970.94,25,15,46,3,7,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
St. Vincent / Grenadines,170,968.27,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Afghanistan,171,968.07,23,14,40,4,7,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Andorra,172,946.43,40,15,65,3,8,29,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Maldives,173,943.92,24,22,39,7,2,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Chinese Taipei,174,923.78,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cambodia,175,922.32,30,43,48,8,7,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Montserrat,176,916.75,18,15,38,5,1,12,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Nepal,177,914.54,31,22,53,8,7,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Mauritius,178,911.49,28,20,39,6,5,17,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Barbados,179,909.89,26,43,65,6,5,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Belize,180,907.0,27,35,47,10,3,14,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Bangladesh,181,902.93,35,32,53,11,9,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Dominica,182,897.69,21,23,44,5,5,11,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Chad,183,896.85,23,13,40,2,6,15,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Eritrea,184,887.06,0,0,0,0,0,0,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Laos,185,885.03,23,20,59,2,5,16,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Cook Islands,186,877.53,9,5,31,2,0,7,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
Sri Lanka,187,876.86,22,15,26,6,6,10,0,0,2026-06-14,football_rankings.csv,results.csv,worldcupsai.zip
