match_id,match_slug,match_url,home_team,away_team,kickoff,final_score,goal_index,minute,minute_base,stoppage_minute,elapsed_minute,scorer,scoring_country,opponent_country,credited_player_country,own_goal,penalty,score_before,score_after,scoring_team_score_before,opponent_score_before,scoring_team_score_after,opponent_score_after,home_score_before,away_score_before,home_score_after,away_score_after,raw_event
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,4,45+5,45,5,50.0,Kai Havertz,Germany,Curacao,Germany,False,True,2-1,3-1,2,1,3,1,2,1,3,1,38’ +4 minutes added Kai Havertz (3 - 1) Penalty 45’ +5 HT 3 - 1 46’ Jeremy Antonisse Sontje Hansen Jamal Musiala
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,5,47,47,0,47.0,Jamal Musiala,Germany,Curacao,Germany,False,False,3-1,4-1,3,1,4,1,3,1,4,1,46’ Jeremy Antonisse Sontje Hansen Jamal Musiala (4 - 1) assist by Joshua Kimmich 47’ Deniz Undav Jamal Musiala 64’ 65’ Jearl Margaritha Jürgen Locadia Nathaniel Brown
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,6,68,68,0,68.0,Nathaniel Brown,Germany,Curacao,Germany,False,False,4-1,5-1,4,1,5,1,4,1,5,1,65’ Jearl Margaritha Jürgen Locadia Nathaniel Brown (5 - 1) assist by Deniz Undav 68’ Antonio Rüdiger Jonathan Tah 72’ Leon Goretzka Felix Nmecha 72’ David Raum Nathaniel Brown 72’ Deniz Undav
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,7,78,78,0,78.0,Deniz Undav,Germany,Curacao,Germany,False,False,5-1,6-1,5,1,6,1,5,1,6,1,72’ Deniz Undav (6 - 1) assist by Joshua Kimmich 78’ 82’ Gervane Kastaneer Tahith Chong Waldemar Anton Joshua Kimmich 83’ Kai Havertz
4667777,germany-vs-curacao,https://www.fotmob.com/matches/germany-vs-curacao/k77fsyu#4667777,Germany,Curacao,2026-06-14T17:00:00.000Z,7-1,8,88,88,0,88.0,Kai Havertz,Germany,Curacao,Germany,False,False,6-1,7-1,6,1,7,1,6,1,7,1,83’ Kai Havertz (7 - 1) assist by Deniz Undav 88’ +5 minutes added
4667778,ecuador-vs-ivory-coast,https://www.fotmob.com/matches/ecuador-vs-ivory-coast/1hl6kp#4667778,Ivory Coast,Ecuador,2026-06-14T23:00:00.000Z,1-0,1,90,90,0,90.0,Amad Diallo,Ivory Coast,Ecuador,Ivory Coast,False,False,0-0,1-0,0,0,1,0,0,0,1,0,89’ Amad Diallo (1 - 0) assist by Wilfried Singo 90’ +7 minutes added
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,1,7,7,0,7.0,Yasin Ayari,Sweden,Tunisia,Sweden,False,False,0-0,1-0,0,0,1,0,0,0,1,0,Yasin Ayari (1 - 0) 7’ Alexander Isak
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,2,30,30,0,30.0,Alexander Isak,Sweden,Tunisia,Sweden,False,False,1-0,2-0,1,0,2,0,1,0,2,0,7’ Alexander Isak (2 - 0) assist by Viktor Gyökeres 30’ 43’ Omar Rekik
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,3,43,43,0,43.0,Omar Rekik,Tunisia,Sweden,Tunisia,False,False,2-0,2-1,0,2,1,2,2,0,2,1,"43’ Omar Rekik (2 - 1) Header, assist by Hannibal Mejbri +4 minutes added HT 2 - 1 54’ Rani Khedira Viktor Gyökeres"
4667784,tunisia-vs-sweden,https://www.fotmob.com/matches/tunisia-vs-sweden/1x5290#4667784,Sweden,Tunisia,2026-06-15T02:00:00.000Z,5-1,4,59,59,0,59.0,Viktor Gyökeres,Sweden,Tunisia,Sweden,False,False,2-1,3-1,2,1,3,1,2,1,3,1,54’ Rani Khedira Viktor Gyökeres (3 - 1) assist by Alexander Isak 59’ Elliot Stroud Gabriel Gudmundsson 64’ Lucas Bergvall Benjamin Nygren 64’ 72’ Elias Achouri Ellyes Skhiri 72’ S
