team,fifa_version,gk,def,mid,att,top11_overall,squad_overall,star_power,depth,value_log,avg_age_top11,n_players
France,17,88.0,82.75,85.0,85.5,84.54545454545455,84.54545454545455,88.0,84.54545454545455,19.663393379480233,28.181818181818183,11
Netherlands,17,81.0,80.0,83.0,78.0,81.0,81.0,83.66666666666667,81.0,19.11632480969843,25.636363636363637,11
Chile,17,85.0,75.5,82.25,79.33333333333333,79.9090909090909,79.9090909090909,86.33333333333333,79.9090909090909,18.98257964360361,29.09090909090909,11
Austria,17,73.0,78.5,78.75,76.0,77.27272727272727,77.27272727272727,82.66666666666667,77.27272727272727,18.57340183955372,27.90909090909091,11
Colombia,17,79.0,76.5,81.0,84.0,79.0,79.0,84.33333333333333,79.0,18.906803761228044,26.636363636363637,11
Slovenia,17,73.0,70.75,73.66666666666667,74.33333333333333,72.72727272727273,72.72727272727273,78.66666666666667,72.72727272727273,17.733515654950683,26.272727272727273,11
Côte d'Ivoire,17,64.0,70.25,77.66666666666667,77.33333333333333,73.63636363636364,73.63636363636364,81.0,73.63636363636364,17.61492464139365,28.454545454545453,11
England,17,84.0,82.0,81.0,84.0,82.18181818181819,82.18181818181819,84.0,82.18181818181819,19.389563929740756,25.181818181818183,11
Turkey,17,79.0,77.33333333333333,81.25,78.0,79.0909090909091,79.0909090909091,81.66666666666667,79.0909090909091,18.700582636643762,27.181818181818183,11
Greece,17,82.0,80.5,75.25,81.0,78.0,78.0,83.33333333333333,78.0,18.602168628338028,27.09090909090909,11
Switzerland,17,84.0,80.0,79.75,76.0,79.54545454545455,79.54545454545455,83.66666666666667,79.54545454545455,18.92448175882369,25.545454545454547,11
Denmark,17,81.0,77.75,79.66666666666667,76.0,77.45454545454545,77.45454545454545,82.33333333333333,77.45454545454545,18.687649782463573,24.545454545454547,11
Mexico,17,80.0,78.75,78.33333333333333,79.66666666666667,79.0,79.0,82.0,79.0,18.72963495902183,27.454545454545453,11
Republic of Ireland,17,74.0,78.0,77.75,76.0,76.63636363636364,76.63636363636364,80.0,76.63636363636364,18.08520802165025,28.818181818181817,11
Czech Republic,17,73.0,74.25,78.5,74.0,75.18181818181819,75.18181818181819,79.33333333333333,75.18181818181819,17.550796408758714,27.09090909090909,11
United States,17,75.0,76.0,78.25,74.0,76.0,76.0,79.33333333333333,76.0,17.98062420660253,27.818181818181817,11
Finland,17,78.0,70.5,75.0,69.0,72.54545454545455,72.54545454545455,78.33333333333333,72.54545454545455,17.51742965026214,27.363636363636363,11
Peru,17,74.0,66.75,67.25,73.0,67.81818181818181,67.81818181818181,73.0,67.81818181818181,16.30249845711618,24.181818181818183,11
Russia,17,80.0,78.25,76.0,79.0,78.0909090909091,78.0909090909091,80.0,78.0909090909091,18.22222981742365,28.727272727272727,11
Cameroon,17,63.0,72.75,72.0,74.66666666666667,71.9090909090909,71.9090909090909,78.33333333333333,71.9090909090909,17.50439003707821,26.09090909090909,11
Egypt,17,72.0,68.25,69.25,73.0,69.81818181818181,69.81818181818181,75.66666666666667,69.81818181818181,17.21336907180573,28.09090909090909,11
Canada,17,65.0,67.0,70.25,68.5,68.27272727272727,68.27272727272727,72.33333333333333,68.27272727272727,16.048209630732753,27.727272727272727,11
Sweden,17,71.0,77.5,75.0,78.0,76.0909090909091,76.0909090909091,79.66666666666667,76.0909090909091,18.11415559728606,26.454545454545453,11
Ecuador,17,74.0,73.75,77.0,77.0,75.0,75.0,79.66666666666667,75.0,17.8879503018341,28.181818181818183,11
Venezuela,17,72.0,72.25,73.25,72.0,71.72727272727273,71.72727272727273,76.33333333333333,71.72727272727273,17.394854152903907,25.90909090909091,11
Northern Ireland,17,67.0,74.75,71.5,71.0,72.18181818181819,72.18181818181819,77.33333333333333,72.18181818181819,17.047302647585692,29.272727272727273,11
Hungary,17,72.0,71.0,74.5,74.0,72.63636363636364,72.63636363636364,76.0,72.63636363636364,16.29204904211537,27.454545454545453,11
Norway,17,74.0,72.75,74.75,72.0,73.45454545454545,73.45454545454545,76.0,73.45454545454545,17.499377495380294,25.181818181818183,11
Bulgaria,17,74.0,69.5,72.25,70.0,69.81818181818181,69.81818181818181,74.66666666666667,69.81818181818181,16.636889503897294,28.90909090909091,11
Australia,17,79.0,70.5,74.0,73.0,73.0,73.0,77.0,73.0,17.37014410710767,25.454545454545453,11
Scotland,17,76.0,73.75,76.25,74.0,75.0,75.0,76.33333333333333,75.0,17.606495257588726,28.181818181818183,11
